# time = 0
# Grid points = 408
# Domain Size = 7
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -4.9143841255e+00  -4.9606635504e+00   1.0000000000e+00   1.8500000000e-04   7.3237906092e-02  -1.0489534848e+00  -2.2441663525e-01
  -4.8218252759e+00  -4.8681047007e+00   1.0000000000e+00   1.8500000000e-04  -2.1053727917e-01  -1.1085474589e+00  -1.3827441544e-01
  -4.7292664261e+00  -4.7755458510e+00   1.0000000000e+00   1.8500000000e-04  -3.5369515653e-01  -1.1650358114e+00   1.0388368257e-01
  -4.6598472889e+00  -4.6829870013e+00   1.0000000000e+00   1.8500000000e-04  -2.6791142312e-01  -1.2525814581e+00   3.1912825474e-01
  -4.6135678641e+00  -4.6367075765e+00   1.0000000000e+00   1.8500000000e-04  -4.2125754519e-01  -1.1906162634e+00   5.1351813247e-01
  -4.5733901601e+00  -4.5904281516e+00   1.0000000000e+00   1.8500000000e-04  -7.7350858021e-01  -1.0266748540e+00   7.1532613216e-01
  -4.5393422093e+00  -4.5563521686e+00   1.0000000000e+00   1.8500000000e-04  -7.0854742767e-01  -7.2766164654e-01   9.4728137409e-01
  -4.5038665630e+00  -4.5223322501e+00   1.0000000000e+00   1.8500000000e-04  -4.0934370031e-01  -4.7736933537e-01   1.1903057332e+00
  -4.4779779066e+00  -4.4854008760e+00   1.0000000000e+00   1.8500000000e-04  -1.2631408897e-01  -2.3147101098e-01   1.3070074888e+00
  -4.4636549445e+00  -4.4705549372e+00   1.0000000000e+00   1.8500000000e-04   2.8173847363e-02   3.6451565790e-02   1.3424517668e+00
  -4.4433502356e+00  -4.4567549518e+00   1.0000000000e+00   1.8500000000e-04   9.3335631697e-02   1.5183291801e-01   1.3475330739e+00
  -4.4053411693e+00  -4.4299455195e+00   1.0000000000e+00   1.8500000000e-04   7.8886962201e-02   1.1659676209e-01   1.3427577183e+00
  -4.3703812108e+00  -4.3807368191e+00   1.0000000000e+00   1.8500000000e-04   2.9900672897e-02   1.1658763086e-02   1.2478132526e+00
  -4.3513741451e+00  -4.3600256024e+00   1.0000000000e+00   1.8500000000e-04  -7.4725378564e-03  -1.2284768660e-01   1.0371394768e+00
  -4.3211407356e+00  -4.3427226877e+00   1.0000000000e+00   1.8500000000e-04  -4.6100910001e-02  -1.9990342699e-01   8.2099946266e-01
  -4.2857337932e+00  -4.2995587834e+00   1.0000000000e+00   1.8500000000e-04  -6.0950837517e-02  -2.8497265685e-01   6.1170427088e-01
  -4.2532629583e+00  -4.2719088031e+00   1.0000000000e+00   1.8500000000e-04  -6.9382742012e-02  -4.2563704941e-01   7.6883502820e-01
  -4.2250672482e+00  -4.2346171136e+00   1.0000000000e+00   1.8500000000e-04   1.2964187843e-01  -4.0474238017e-01   9.7270514772e-01
  -4.1978670810e+00  -4.2155173828e+00   1.0000000000e+00   1.8500000000e-04   5.4413545770e-01  -3.4690301061e-01   1.2267528176e+00
  -4.1703487023e+00  -4.1802167791e+00   1.0000000000e+00   1.8500000000e-04   7.8568337757e-01  -2.6982881024e-01   1.3253706261e+00
  -4.1437742793e+00  -4.1604806255e+00   1.0000000000e+00   1.8500000000e-04   9.3611503232e-01  -2.0748150267e-01   9.9787391707e-01
  -4.0935497438e+00  -4.1270679332e+00   1.0000000000e+00   1.8500000000e-04   1.1114081519e+00  -1.4081613292e-01   7.1120838212e-01
  -4.0265133650e+00  -4.0600315544e+00   1.0000000000e+00   1.8500000000e-04   1.2147491206e+00  -1.9392351111e-02   3.8279506413e-01
  -3.9259587967e+00  -3.9929951755e+00   1.0000000000e+00   1.8500000000e-04   1.2131067878e+00   1.7657670584e-02  -1.4219691511e-02
  -3.8103914923e+00  -3.8589224179e+00   1.0000000000e+00   1.8500000000e-04   1.1571685643e+00  -7.1098945792e-02  -2.1650795033e-01
  -3.7133296410e+00  -3.7618605667e+00   1.0000000000e+00   1.8500000000e-04   1.0592942277e+00  -1.3950546514e-01  -7.3101799551e-02
  -3.6265856856e+00  -3.6647987154e+00   1.0000000000e+00   1.8500000000e-04   8.8657402667e-01  -2.1618328741e-01  -2.5210228094e-01
  -3.5501596259e+00  -3.5883726557e+00   1.0000000000e+00   1.8500000000e-04   6.0692102632e-01  -2.7003272341e-01  -6.4059509324e-01
  -3.4693659908e+00  -3.5119465960e+00   1.0000000000e+00   1.8500000000e-04   3.5409931257e-01  -2.9975358497e-01  -5.4571161995e-01
  -3.3842047803e+00  -3.4267853855e+00   1.0000000000e+00   1.8500000000e-04   6.1082597130e-02  -8.0119248452e-02  -1.7894958141e-01
  -3.2956000367e+00  -3.3416241750e+00   1.0000000000e+00   1.8500000000e-04   9.6539773837e-02  -4.5073033964e-02   1.5122658017e-01
  -3.2035517600e+00  -3.2495758984e+00   1.0000000000e+00   1.8500000000e-04   3.8964579103e-03  -2.9475165869e-01   2.8342017256e-01
  -3.1356868406e+00  -3.1575276217e+00   1.0000000000e+00   1.8500000000e-04  -1.4021680603e-01  -3.0239279227e-01   2.7170964841e-01
  -3.0789644308e+00  -3.1138460595e+00   1.0000000000e+00   1.8500000000e-04  -9.1377626507e-02  -1.9569569472e-01   1.2568316130e-01
  -3.0092011735e+00  -3.0440828021e+00   1.0000000000e+00   1.8500000000e-04  -3.7947334478e-02   4.2031143806e-02  -9.4935208161e-02
  -2.9191357188e+00  -2.9743195448e+00   1.0000000000e+00   1.8500000000e-04   1.2884470323e-02  -1.4382976784e-01  -2.2216253593e-01
  -2.8355568355e+00  -2.8639518929e+00   1.0000000000e+00   1.8500000000e-04   2.0449650938e-02  -3.7215306992e-01  -3.0497809176e-01
  -2.7672275354e+00  -2.8071617781e+00   1.0000000000e+00   1.8500000000e-04   1.6042210592e-02  -5.6156864539e-01  -3.1448436429e-01
  -2.6686868784e+00  -2.7272932928e+00   1.0000000000e+00   1.8500000000e-04  -1.0695461229e-01  -7.9503223885e-01  -2.7849609869e-01
  -2.5807772570e+00  -2.6100804641e+00   1.0000000000e+00   1.8500000000e-04  -4.3728291087e-01  -9.6083862130e-01  -2.9716450550e-02
  -2.5368224462e+00  -2.5514740498e+00   1.0000000000e+00   1.8500000000e-04  -7.4269849239e-01  -9.2306977212e-01   3.9487338683e-01
  -2.5075192390e+00  -2.5221708426e+00   1.0000000000e+00   1.8500000000e-04  -6.8658822911e-01  -7.3294140347e-01   6.2684187378e-01
  -2.4850016633e+00  -2.4928676354e+00   1.0000000000e+00   1.8500000000e-04  -5.8651857545e-01  -4.7167161393e-01   7.8034756153e-01
  -2.4697977810e+00  -2.4771356912e+00   1.0000000000e+00   1.8500000000e-04  -7.9667229213e-01  -2.2695133266e-01   9.5018284112e-01
  -2.4587909155e+00  -2.4624598707e+00   1.0000000000e+00   1.8500000000e-04  -5.7768363227e-01   2.4074909675e-02   1.0238102015e+00
  -2.4514530053e+00  -2.4551219604e+00   1.0000000000e+00   1.8500000000e-04  -2.8344119025e-01   3.2208207792e-01   9.8684990151e-01
  -2.4460392820e+00  -2.4477840501e+00   1.0000000000e+00   1.8500000000e-04   1.3931050949e-03   4.0808807511e-01   8.4927233464e-01
