# time = 0
# Grid points = 683
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -6.5530769517e+00  -6.5607305263e+00   1.0000000000e+00   2.0000000000e-03  -8.4439673066e-01   3.2280964567e-01   4.8331719127e-01
  -6.5353246594e+00  -6.5454233771e+00   1.0000000000e+00   2.0000000000e-03  -8.5743884956e-01   3.4869995675e-01   4.9071536527e-01
  -6.5112742575e+00  -6.5252259418e+00   1.0000000000e+00   2.0000000000e-03  -8.7038388283e-01   3.8496587264e-01   4.9114985073e-01
  -6.4869058029e+00  -6.4973225732e+00   1.0000000000e+00   2.0000000000e-03  -8.8132178699e-01   4.2880582459e-01   4.8293070766e-01
  -6.4627974694e+00  -6.4764890326e+00   1.0000000000e+00   2.0000000000e-03  -8.9324298040e-01   4.7975476145e-01   4.7208449396e-01
  -6.4314052481e+00  -6.4491059063e+00   1.0000000000e+00   2.0000000000e-03  -9.1330512874e-01   5.6176905255e-01   4.5337931249e-01
  -6.3969100031e+00  -6.4137045900e+00   1.0000000000e+00   2.0000000000e-03  -9.3889742692e-01   6.6510971767e-01   4.0832102008e-01
  -6.3548764875e+00  -6.3801154162e+00   1.0000000000e+00   2.0000000000e-03  -9.6223051298e-01   7.9409478096e-01   1.6880654376e-01
  -6.3194612859e+00  -6.3296375588e+00   1.0000000000e+00   2.0000000000e-03  -9.2083721394e-01   7.3302192579e-01  -1.9292582577e-01
  -6.3011204510e+00  -6.3092850130e+00   1.0000000000e+00   2.0000000000e-03  -8.5262224692e-01   6.0625195957e-01  -3.7943697555e-01
  -6.2855301206e+00  -6.2929558889e+00   1.0000000000e+00   2.0000000000e-03  -7.5656061629e-01   4.4733157145e-01  -4.4978082459e-01
  -6.2707059183e+00  -6.2781043522e+00   1.0000000000e+00   2.0000000000e-03  -6.4153131591e-01   2.8111375186e-01  -4.3523546171e-01
  -6.2554745379e+00  -6.2633074843e+00   1.0000000000e+00   2.0000000000e-03  -5.0293276914e-01   1.1419906093e-01  -3.4029840205e-01
  -6.2401704343e+00  -6.2476415916e+00   1.0000000000e+00   2.0000000000e-03  -3.4126218500e-01  -5.6186748696e-02  -1.8752355400e-01
  -6.2249884377e+00  -6.2326992770e+00   1.0000000000e+00   2.0000000000e-03  -1.8421663736e-01  -2.0875278298e-01  -1.0717294491e-02
  -6.2088386507e+00  -6.2172775984e+00   1.0000000000e+00   2.0000000000e-03  -3.2078913542e-02  -3.5602168213e-01   1.7817953109e-01
  -6.1924647732e+00  -6.2003997030e+00   1.0000000000e+00   2.0000000000e-03   1.0545961234e-01  -4.8909435776e-01   3.5899740681e-01
  -6.1774512884e+00  -6.1845298433e+00   1.0000000000e+00   2.0000000000e-03   2.1872826161e-01  -5.7839641749e-01   5.0638618879e-01
  -6.1626963620e+00  -6.1703727336e+00   1.0000000000e+00   2.0000000000e-03   3.1944045637e-01  -6.1327169218e-01   6.2653530694e-01
  -6.1468266207e+00  -6.1550199904e+00   1.0000000000e+00   2.0000000000e-03   4.2229716190e-01  -5.6876876916e-01   7.2914456060e-01
  -6.1295065265e+00  -6.1386332511e+00   1.0000000000e+00   2.0000000000e-03   5.3286591682e-01  -4.1529866759e-01   8.1932225203e-01
