# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -1.5096674168e+00  -1.5423253210e+00   1.0000000000e+00   1.2500000000e-02  -3.3200885147e-01   7.7205901178e-01  -5.2155504749e-02
  -1.4467514654e+00  -1.4770095127e+00   1.0000000000e+00   1.2500000000e-02  -2.7250099144e-01   8.1528885299e-01  -2.9263941959e-02
  -1.3879632468e+00  -1.4164934182e+00   1.0000000000e+00   1.2500000000e-02  -2.1253371037e-01   8.5142206688e-01  -9.9560119002e-03
  -1.3321424017e+00  -1.3594330755e+00   1.0000000000e+00   1.2500000000e-02  -1.5224175573e-01   8.8160153508e-01   6.5689636103e-03
  -1.2784276392e+00  -1.3048517280e+00   1.0000000000e+00   1.2500000000e-02  -9.1699262236e-02   9.0664852003e-01   2.0873938473e-02
  -1.2261466282e+00  -1.2520035505e+00   1.0000000000e+00   1.2500000000e-02  -3.0951184080e-02   9.2715675368e-01   3.3373358080e-02
  -1.1747480493e+00  -1.2002897060e+00   1.0000000000e+00   1.2500000000e-02   2.9970055594e-02   9.4355390948e-01   4.4385368352e-02
  -1.1237492267e+00  -1.1492063926e+00   1.0000000000e+00   1.2500000000e-02   9.1044975567e-02   9.5614500486e-01   5.4165545377e-02
  -1.0727037145e+00  -1.0982920608e+00   1.0000000000e+00   1.2500000000e-02   1.5226326290e-01   9.6513802072e-01   6.2926819412e-02
  -1.0211975749e+00  -1.0471153683e+00   1.0000000000e+00   1.2500000000e-02   2.1359439218e-01   9.7066005048e-01   7.0849479392e-02
  -9.6883043266e-01  -9.9527978160e-01   1.0000000000e+00   1.2500000000e-02   2.7498116387e-01   9.7277793735e-01   7.8091083385e-02
  -9.1518360164e-01  -9.4238108373e-01   1.0000000000e+00   1.2500000000e-02   3.3634818419e-01   9.7151430344e-01   8.4793612378e-02
  -8.5979561039e-01  -8.8798611955e-01   1.0000000000e+00   1.2500000000e-02   3.9759463854e-01   9.6685926403e-01   9.1085230464e-02
  -8.0212844923e-01  -8.3160510124e-01   1.0000000000e+00   1.2500000000e-02   4.5858413255e-01   9.5878145768e-01   9.7078789905e-02
  -7.4151692954e-01  -7.7265179722e-01   1.0000000000e+00   1.2500000000e-02   5.1912903256e-01   9.4723889870e-01   1.0286647645e-01
  -6.7708774213e-01  -7.1038206186e-01   1.0000000000e+00   1.2500000000e-02   5.7896390761e-01   9.3219011561e-01   1.0850922110e-01
  -6.0762369321e-01  -6.4379342239e-01   1.0000000000e+00   1.2500000000e-02   6.3769480518e-01   9.1360659654e-01   1.1401775298e-01
  -5.3133098422e-01  -5.7145396403e-01   1.0000000000e+00   1.2500000000e-02   6.9468764866e-01   8.9149143455e-01   1.1931761810e-01
